Camera,SD_Card,Round,ForestType,Forest,Season,inv_simp,div_shan,ForestSimpson,ForestShannon,ForestSR,meanTreeDensity,meanTreeDominance,meanSeedlingSaplingDensity,meanSSDominance,MeanAllDensity,meanAllDominance,SpecRichness,NumDeer,RoadDensity50,PlotSize50,Aspect50,Slope50,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Forest50,P_Development50,P_Agriculture50,P_Barren50,P_Shrub50,P_Wetland50,P_Herb50,PPT_50,Elevation50,Cam_Model,Cam_Orient,PPT_100,Slope100,Elevation100,RoadDensity100,PlotSize100,Cam_Orient100,Aspect100,P_Water100,P_Mixed100,P_Evergreen100,P_Deciduos100,P_Forest100,P_Development100,P_Agriculture100,P_Barren100,P_Shrub100,P_Wetland100,P_Herb100
2,7,1,Pine,WHIP,Winter,NA,NA,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,NA,1.504610742,950.580053,0,2.8624053,0,0,81.362007,10.035842,91.397849,0.358423,0,0,3.046595,5.376344,0,104.4986038,273,Bushnell HD,240,120.1684036,13.83230305,223,0,561.5631565,322,293.9624939,3.240324,1.980198,,94.059406,96.039604,0,0,0,0,0.540054,0
3,5,1,Deciduous,SH,Winter,2,0.693147181,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,2,1,0.727051544,950.580053,NA,0,0,10.215054,51.971326,7.706093,69.892473,0,27.319355,0,0,1.433692,1.971326,98.48180389,235,Bushnell HD,328,102.7360001,10.82504368,266,0,474.1317962,352,78.69007111,0,2.430243,4.950495,88.388839,95.769577,0,0,0,0,4.410441,0
4,26,1,Pine,WF,Winter,1.882352941,0.661563238,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,2,5,0,520.20841,45,2.02486825,0,14.695341,45.16129,34.767025,94.623656,0,0,0,0,5.376344,0,104.4089966,220,Bushnell HD,92,85.59600067,2.8624053,130,0,726.1271087,46,90,0.990099,2.790279,47.434743,38.613861,88.838883,0,0,0,2.520252,7.470747,0
6,2,1,Deciduous,DON,Winter,NA,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,NA,0,726.127109,251.565048,2.263636112,0,1.075269,70.250896,27.060932,98.387097,0,0,0,1.612903,0,0,94.0141983,132,Browning ,304,96.62519836,6.379370213,276,0.670186,520.2084104,80,206.5650482,1.80018,2.970297,20.882088,68.676868,92.529253,0,0.990099,0,0,3.780378,0.990099
8,23,1,Pine,DEG,Winter,NA,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,NA,0,950.580053,NA,0,0,13.261649,45.878136,27.419355,86.55914,0,0,0,4.121864,10.215054,0,96.56919861,237,Browning ,70,99.28639984,6.457954884,255,0.684001,520.2084104,81,6.340190887,,6.390639,24.482448,56.79568,87.668767,0.180018,4.050405,,4.680468,0.270027,3.060306
9,25,1,Pine,WF,Winter,2,0.693147181,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,2,1,0.939955613,520.20841,6.34019089,6.457954884,0,7.706093,37.455197,48.566308,93.727598,0,0.716846,0,2.508961,0,3.405018,85.59600067,255,Bushnell HD,81,94.92060089,8.111279488,127,0,726.1271087,142,15.25511837,1.890189,1.080108,45.634563,47.524752,94.239423,0,1.980198,0,0.810081,1.530153,0
10,10,1,Deciduous,SH,Winter,NA,NA,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,NA,0.456875405,561.563156,154.983109,22.48092842,0,4.121864,2.508961,92.65233,99.283155,0,0,0,0,1.25448,0,95.92179871,270,Bushnell HD,271,91.81259918,9.256682396,122,0.261651,726.1271087,30,265.6012878,9.0009,0,18.811881,50.405041,69.216922,0.630063,0.540054,0,5.130513,12.961296,2.430243
11,13,1,Deciduous,BC,Winter,2.17971196,1.113545986,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,7,7,0,726.127109,135,1.012750387,7.168459,0.896057,24.014337,60.573477,85.483871,0,0,0,3.942652,1.612903,2.688172,123.1381989,128,Bushnell HD,302,95.92179871,16.05431557,117,0,726.1271087,46,87.51044464,3.150315,1.710171,37.443744,49.234923,88.388838,0,6.120612,0,0.810081,1.530153,0
14,22,1,Deciduous,DON,Winter,1.587044534,0.804507271,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,5,22,0.19934951,520.20841,325.30484,11.179986,0,11.290323,32.795699,48.924731,93.010753,0.179211,0,0,0,7.168459,0,84.79499817,219,Bushnell HD,7,92.13800049,8.588925362,258,0.046707,950.5800525,215,335.556,0,4.320432,46.354635,38.073807,88.748874,0.180018,0,0.090009,1.170117,6.210621,3.420342
15,14,1,Pine,DEG,Winter,1.062439024,0.135793959,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,2,64,0,726.127109,251.565048,2.263636112,0,1.075269,70.250896,27.060932,98.387097,0,0,0,1.612903,0,0,122.7335968,132,Browning ,288,119.0617981,3.199601412,257,0.341941,520.2084104,78,296.5650635,0,9.630963,13.321332,72.9973,95.949595,0,4.680468,0,0,0,0
17,24,1,Deciduous,BC,Winter,2.007156309,0.822541605,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,4,45,0.445029083,474.131796,NA,0,3.763441,1.792115,40.681004,46.057348,88.530467,0,0,0,1.612903,6.989247,0,96.62519836,262,Browning ,157,98.8789978,4.044691086,142,0,637.1882833,284,315,4.140414,0,0,84.608461,84.608461,0,0,0,2.160216,9.090909,0
18,16,1,Pine,WHIP,Winter,2.105263158,0.981941601,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,4,13,0,520.20841,26.5650501,3.199601412,0,3.584229,35.483871,56.810036,95.878136,4.659498,0,0,0,0,0,84.79499817,206,Browning ,16,85.8302002,2.8624053,273,1.183714,950.5800525,240,0,0,2.250225,66.606661,19.531953,88.388839,1.620162,0.540054,0,4.860486,4.140414,0.450045
21,21,1,Deciduous,DON,Winter,1.470588235,0.500402424,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,2,NA,0,520.20841,296.565063,3.199601412,0,9.856631,8.243728,80.286738,98.387097,0,0.896057,0,0,0,0,92.13800049,257,Bushnell HD,78,92.95980072,3.035723686,253,0.551039,950.5800525,232,0,0,3.870387,56.165617,29.522952,89.558956,0,6.660666,0,3.420342,0,0
22,18,1,Pine,WF,Winter,1.293543307,0.454413145,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,3,97,0,561.563156,300.963745,16.25391769,0,1.25448,1.25448,98.207885,100.716845,0,0,0,0,0,0,92.95980072,231,Bushnell HD,63,97.375,5.710593224,305,0.631112,950.5800525,358,0,3.77697842,2.607914,2.697842,80.935252,86.241008,0,0,0,1.798561,8.183453,0
23,3,1,Deciduous,SH,Winter,1.831775701,0.904996116,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,5,20,0,637.188283,288.434937,8.984876633,1.25448,2.150538,15.591398,58.960573,76.702509,0,0,0,0,22.580645,0,92.54319763,126,Bushnell HD,222,92.54319763,8.646670341,251,0,561.5631565,200,189.462326,2.250225,0.720072,4.410441,88.838884,93.969397,0,0,0,0,3.510351,0
24,4,1,Deciduous,BC,Winter,1.362264151,0.436162325,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,2,16,0.469279342,474.131796,315,1.012750387,9.856631,0.358423,23.476703,62.903226,86.738352,0,0,0,0,3.046595,0,94.88400269,255,Bushnell HD,278,102.7360001,9.256682396,260,0.639446,474.1317962,30,302.4711914,1.170117,1.170117,66.246625,23.852385,91.269127,0,0,0,0,5.850585,1.620162
25,9,1,Deciduous,SH,Winter,4.05,1.565445107,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,6,7,0,637.188283,231.340195,9.094640732,0,0,0.537634,73.835125,74.372759,0,0,0,0.896057,23.11828,1.971326,92.54319763,113,Browning ,13,97.68659973,22.48092842,270,0.542422,561.5631565,271,154.9831085,0.810081,2.070207,1.260126,93.69937,97.029703,0,0,0,0,1.710171,0
27,8,1,Deciduous,DON,Winter,1.814814815,0.79631164,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,3,5,0.054430636,474.131796,315,1.012750387,1.25448,3.225806,51.612903,31.72043,86.559139,0,0,0,0,10.035842,2.150538,94.6989975,256,Browning ,348,120.1684036,10.82504368,255,0.594524,561.5631565,51,78.69007111,3.240324,1.170117,6.660666,83.168317,90.9991,0,0,0,0,6.120612,0
28,15,1,Pine,DEG,Winter,1,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,1,NA,0,474.131796,78.6900711,10.82504368,0,4.83871,6.451613,83.691756,94.982079,0,0,0,0,5.197133,0,98.40180206,266,Bushnell HD,352,104.4986038,3.64697051,250,0.619,950.5800525,185,258.6900635,0,11.611161,24.30243,62.736274,98.649865,0,0,0,0,1.80018,0
29,19,1,Pine,DEG,Winter,1.082033032,0.204033461,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,4,148,0,637.188283,315,4.044691086,5.376344,0,0,90.143369,90.143369,0,0,0,2.150538,3.046595,0,94.92060089,142,Bushnell HD,284,120.1684036,16.25391769,231,0,561.5631565,63,300.9637451,0,0,1.260126,97.29973,98.559856,0,0,0,1.260126,0.180018,0
30,20,1,Deciduous,BC,Winter,1,0,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0,520.20841,303.690063,5.150652409,0,2.508961,3.942652,91.935484,98.387097,0,0,0,2.508961,0,0,99.76599884,262,Bushnell HD,241,99.76599884,5.150652409,262,0.322726,520.2084104,241,303.6900635,0,4.860486,6.570657,78.937894,90.369037,0,0,0,9.630963,0,0
31,6,1,Pine,WHIP,Winter,1.588588589,0.752916809,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,1,4,0,726.127109,0,2.8624053,1.971326,2.508961,59.498208,32.97491,94.982079,0,0,0,1.612903,0,1.433692,85.30079651,125,Bushnell HD,13,98.40180206,0,251,1.708201,474.1317962,12,NA,1.890189,0.720072,70.027003,10.80108,81.548155,0,0,0,1.260126,10.891089,4.680468
32,17,1,Pine,WHIP,Winter,1.260206371,0.425227591,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,4,18,0,726.127109,23.19859,5.438007832,8.960573,1.792115,50.179211,35.125448,87.096774,0,0,0,1.612903,2.867384,0,91.81259918,121,Browning ,297,123.1381989,5.438007832,254,0.658475,474.1317962,105,336.8014221,2.070207,0.990099,44.194419,47.074707,92.259225,0,0,0,0.090009,4.230423,1.620162
33,1,1,Pine,WF,Winter,1.84417285,1.002204018,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,3,47,0,561.563156,349.69516,15.61612988,3.942652,0,0.537634,93.727599,94.265233,0,0,0,0,1.792114,0,99.28639984,195,Browning ,185,96.86520386,1.012750387,251,0.471178,474.1317962,0,315,5.940594,0.990099,55.535554,24.662466,81.188119,0,0,0,0.810081,11.251125,0.990099
2,42,2,Pine,WHIP,Spring,1.466666667,0.663179453,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,4,18,0.729647265,474.131796,315,1.012750387,6.272401,0,66.129032,16.487455,82.616487,0,0,0,1.612903,9.498208,0,85.8302002,251,Bushnell HD,0,85.8302002,0,235,0.592534,950.5800525,328,NA,0,7.740774,45.094509,13.591359,66.426642,0,30.60306,0,0.540054,1.350135,0.990099
3,7,2,Deciduous,SH,Spring,1,0,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,3,28,0,637.188283,166.429565,20.45103073,1.612903,0,0,81.003584,81.003584,0,0,0,0,18.100358,0,88.53279877,145,Bushnell HD,306,96.40039825,1.012750387,263,0.604183,950.5800525,178,315,0,6.570657,59.765977,30.513051,96.849685,0.630063,0,0,2.070207,0.630063,0
4,36,2,Pine,WF,Spring,1.279670975,0.437494957,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,3,29,1.053959516,561.563156,108.434952,8.984876633,1.075269,2.867384,0,84.946237,87.813621,0,0,0,0,10.035842,0,97.68659973,279,Browning ,226,85.30079651,14.03624344,121,0.60961,726.1271087,280,90,5.40054,0.810081,15.211521,63.276328,79.29793,2.160216,0,0,8.460846,1.80018,2.790279
